Ano,Países,Código SH2,Descrição SH2,Valor US$ FOB,Quilograma Líquido
2024,"
Japão",10,"
Cereais",515368763,2599584880
2024,"
Argentina",26,"
Minerios, escórias e cinzas",513214027,4174571576
2024,"
Países Baixos (Holanda)",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",511734610,1078895929
2024,"
Países Baixos (Holanda)",8,"
Frutas; cascas de frutos cítricos e de melões",503798361,455139200
2024,"
Canadá",88,"
Aeronaves e aparelhos espaciais, e suas partes",499172953,517880
2024,"
China",10,"
Cereais",465522787,2227013298
2024,"
Estados Unidos",40,"
Borracha e suas obras",464815193,93907318
2024,"
Alemanha",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",440859458,39431244
2024,"
Estados Unidos",29,"
Produtos químicos orgânicos",439295935,264029748
2024,"
China",41,"
Peles, exceto as peles com pelo, e couros",401716762,278259384
2024,"
Chile",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",400948318,29999750
2024,"
Estados Unidos",26,"
Minerios, escórias e cinzas",397535142,2827526793
2024,"
Estados Unidos",16,"
Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",397156869,38425173
2024,"
Estados Unidos",73,"
Obras de ferro fundido, ferro ou aço",392260569,111511099
2024,"
Argentina",40,"
Borracha e suas obras",389103471,69065170
2024,"
Japão",76,"
Alumínio e suas obras",387386578,164714917
2024,"
Estados Unidos",15,"
Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal",386232182,366716244
2024,"
Países Baixos (Holanda)",9,"
Café, chá, mate e especiarias",382862296,103130110
2024,"
Argentina",48,"
Papel e cartão; obras de pasta de celulose, de papel ou de cartão",377378763,332456364
2024,"
China",15,"
Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal",377292932,750821757
2024,"
Espanha",9,"
Café, chá, mate e especiarias",370832314,97186028
2024,"
Argentina",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",369297317,209894942
2024,"
Estados Unidos",90,"
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",349880925,3429532
2024,"
México",72,"
Ferro fundido, ferro e aço",346029431,455923095
2024,"
Japão",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",335260254,771784687
2024,"
Estados Unidos",21,"
Preparações alimentícias diversas",329005744,74735064
2024,"
Japão",72,"
Ferro fundido, ferro e aço",327462979,82391590
2024,"
Estados Unidos",93,"
Armas e munições; suas partes e acessórios",323875242,10325838
2024,"
Argentina",38,"
Produtos diversos das indústrias químicas",320243941,75507620
2024,"
México",44,"
Madeira, carvão vegetal e obras de madeira",317998337,643435162
2024,"
Canadá",72,"
Ferro fundido, ferro e aço",311333872,453948009
2024,"
Estados Unidos",71,"
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",308255344,3569223
2024,"
Estados Unidos",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",304525896,31822728
2024,"
Chile",39,"
Plásticos e suas obras",291615148,158990118
2024,"
México",9,"
Café, chá, mate e especiarias",277366050,78400049
2024,"
Estados Unidos",76,"
Alumínio e suas obras",267129282,72433231
2024,"
Estados Unidos",48,"
Papel e cartão; obras de pasta de celulose, de papel ou de cartão",266954691,203409161
2024,"
México",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",263225955,17126917
2024,"
Estados Unidos",39,"
Plásticos e suas obras",259888142,79410873
2024,"
Estados Unidos",35,"
Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas",257406834,39352711
2024,"
Estados Unidos",24,"
Tabaco e seus sucedâneos manufaturados",255026250,39839653
2024,"
Estados Unidos",94,"
Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",253584149,59446495
2024,"
Chile",23,"
Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais",250567549,346296427
2024,"
Estados Unidos",74,"
Cobre e suas obras",249209004,26741866
2024,"
Argentina",18,"
Cacau e suas preparações",246915357,29095927
2024,"
Alemanha",71,"
Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",246905834,788525
2024,"
Canadá",9,"
Café, chá, mate e especiarias",232066709,54230270
2024,"
México",26,"
Minerios, escórias e cinzas",231056471,2417387076
2024,"
Estados Unidos",3,"
Peixes e crustáceos, moluscos e outros invertebrados aquáticos",223997753,30241014
2024,"
Canadá",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",221201069,21136370
2024,"
Estados Unidos",64,"
Calçados, polainas e artefatos semelhantes; suas partes",216952526,5992556
2024,"
China",9,"
Café, chá, mate e especiarias",215209758,56096900
2024,"
Alemanha",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",214038519,44072366
2024,"
Argentina",64,"
Calçados, polainas e artefatos semelhantes; suas partes",208395289,7600451
2024,"
Argentina",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",207444833,369539152
2024,"
Países Baixos (Holanda)",29,"
Produtos químicos orgânicos",206877673,215903561
2024,"
Espanha",88,"
Aeronaves e aparelhos espaciais, e suas partes",205413148,214146
2024,"
Estados Unidos",22,"
Bebidas, líquidos alcoólicos e vinagres",205360495,273922126
2024,"
México",48,"
Papel e cartão; obras de pasta de celulose, de papel ou de cartão",200456085,190078522
2024,"
Argentina",29,"
Produtos químicos orgânicos",192399083,102305595
2024,"
Chile",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",183421342,11867683
2024,"
México",40,"
Borracha e suas obras",183116108,41214360
2024,"
Chile",48,"
Papel e cartão; obras de pasta de celulose, de papel ou de cartão",182237407,153623171
2024,"
Espanha",10,"
Cereais",179510166,939683188
2024,"
China",44,"
Madeira, carvão vegetal e obras de madeira",177889883,1079001661
2024,"
Argentina",73,"
Obras de ferro fundido, ferro ou aço",167575745,43067546
2024,"
Alemanha",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",167266041,351977000
2024,"
Argentina",76,"
Alumínio e suas obras",167164771,41068306
2024,"
Estados Unidos",41,"
Peles, exceto as peles com pelo, e couros",166745706,11741601
2024,"
Canadá",26,"
Minerios, escórias e cinzas",162623819,2273063582
2024,"
Argentina",34,"
Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",161425505,54101617
2024,"
China",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",158847875,10910096
2024,"
Japão",23,"
Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais",158078081,349382180
2024,"
Argentina",32,"
Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever",157658072,73270908
2024,"
Espanha",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",150045709,262062219
2024,"
Países Baixos (Holanda)",16,"
Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",149959495,33616866
2024,"
Japão",20,"
Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",149597085,36097752
2024,"
Países Baixos (Holanda)",76,"
Alumínio e suas obras",146420266,60708434
2024,"
Estados Unidos",30,"
Produtos farmacêuticos",145132926,7403891
2024,"
Espanha",2,"
Carnes e miudezas, comestíveis",145040333,41058742
2024,"
Argentina",90,"
Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",144507983,2682580
2024,"
Países Baixos (Holanda)",88,"
Aeronaves e aparelhos espaciais, e suas partes",142743683,135395
2024,"
Alemanha",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",142696315,20005182
2024,"
Japão",47,"
Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).",140237696,239881780
2024,"
China",20,"
Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",138214394,70849912
2024,"
Espanha",8,"
Frutas; cascas de frutos cítricos e de melões",136962519,130349419
2024,"
Estados Unidos",5,"
Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",135106599,16614072
2024,"
Estados Unidos",69,"
Produtos cerâmicos",133245901,257293052
