Pais,Produto,Valor_2024,Valor_2026
Alemanha,Preparações alimentícias diversas,30513941,51064335.0
Alemanha,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",15038825,14471345.0
Alemanha,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",3980137,3980137.0
Alemanha,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria",728538,1464506.0
Alemanha,Produtos cerâmicos,648230,1159781.0
Alemanha,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,637360,605781.0
Alemanha,Produtos diversos das indústrias químicas,10698049,14378929.0
Alemanha,Produtos farmacêuticos,11778391,17318775.0
Alemanha,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",1410780,1659873.0
Alemanha,Produtos para fotografia e cinematografia,5125573,5125573.0
Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",214038519,266954691.0
Alemanha,Produtos químicos orgânicos,40631389,45660072.0
Alemanha,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",246905834,291025748.0
Alemanha,Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis,2625940,4330943.0
Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",440859458,464815193.0
Alemanha,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,679940611,878776764.0
Alemanha,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",564923,667630.0
Alemanha,"Sal; enxofre; terras e pedras; gesso, cal e cimento",10475331,9941262.0
Alemanha,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",110792179,173998753.0
Alemanha,Tabaco e seus sucedâneos manufaturados,66236417,73288469.0
Alemanha,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",45197,93210.0
Alemanha,Tecidos de malha,2857,2857.0
Alemanha,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.,146968,127180.0
Alemanha,"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis",456801,567377.0
Alemanha,"Vestuário e seus acessórios, de malha",474043,559271.0
Alemanha,"Vestuário e seus acessórios, exceto de Malha",488401,646617.0
Alemanha,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",59208315,56182433.0
Alemanha,"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação",417447,646008.0
Alemanha,Vidro e suas obras,357889,433881.0
Alemanha,Zinco e suas obras,4,233.0
Alemanha,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,48265178,51067443.0
Argentina,Adubos (fertilizantes),31867859,52734968.0
Argentina,"Aeronaves e aparelhos espaciais, e suas partes",381082,354430.0
Argentina,Algodão,17853151,17768697.0
Argentina,Alumínio e suas obras,167164771,195321691.0
Argentina,Animais vivos,27083941,29166485.0
Argentina,Armas e munições; suas partes e acessórios,2337706,2997383.0
Argentina,Artigos de relojoaria,155001,133000.0
Argentina,Açúcares e produtos de confeitaria,12217346,11554223.0
Argentina,"Bebidas, líquidos alcoólicos e vinagres",5044049,6486376.0
Argentina,Borracha e suas obras,389103471,483633493.0
Argentina,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",4569580,5782935.0
Argentina,Cacau e suas preparações,246915357,291025748.0
Argentina,"Café, chá, mate e especiarias",128623042,142903641.0
Argentina,"Calçados, polainas e artefatos semelhantes; suas partes",208395289,268603444.0
Argentina,"Carnes e miudezas, comestíveis",61589333,64929874.0
Argentina,Cereais,19726076,34362129.0
Argentina,"Chapéus e artefatos de uso semelhante, e suas partes",1100051,1324468.0
Argentina,Chumbo e suas obras,1568182,2480568.0
Argentina,Cobre e suas obras,109716365,108887121.0
Argentina,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",369297317,667968485.0
Argentina,Cortiça e suas obras,120548,265169.0
Argentina,Embarcações e estruturas flutuantes,164331,93579.0
Argentina,Estanho e suas obras,15988343,15988343.0
Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,157658072,164302693.0
Argentina,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",36282392,41539034.0
Argentina,"Ferro fundido, ferro e aço",557967968,894930419.0
Argentina,"Fibras sintéticas ou artificiais, descontínuas",25211662,25142074.0
Argentina,Filamentos sintéticos ou artificiais,25846665,25142074.0
Argentina,Frutas; cascas de frutos cítricos e de melões,43485796,45660072.0
Argentina,"Gomas, resinas e outros sucos e extratos vegetais",2854277,2586948.0
Argentina,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,15736758,22633876.0
Argentina,"Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes",231123,393200.0
Argentina,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",144507983,160473955.0
Argentina,Instrumentos musicais; suas partes e acessórios,51079,65401.0
Argentina,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",4889407,4511314.0
Argentina,"Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas",17376330,57984056.0
Argentina,"Lã, pelos finos ou grosseiros; fios e tecidos de crina",153584,153584.0
Argentina,"Madeira, carvão vegetal e obras de madeira",19224837,23302899.0
Argentina,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,76152832,89721119.0
