Ano,Pais,Produto,Valor,Peso_kg,Tipo
2024,Argentina,"Minerios, escórias e cinzas",513214027,4174571576,Histórico
2024,Países Baixos (Holanda),"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",511734610,1078895929,Histórico
2024,Países Baixos (Holanda),Frutas; cascas de frutos cítricos e de melões,503798361,455139200,Histórico
2024,Canadá,"Aeronaves e aparelhos espaciais, e suas partes",499172953,517880,Histórico
2024,China,Cereais,465522787,2227013298,Histórico
2024,Estados Unidos,Borracha e suas obras,464815193,93907318,Histórico
2024,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",440859458,39431244,Histórico
2024,Estados Unidos,Produtos químicos orgânicos,439295935,264029748,Histórico
2024,China,"Peles, exceto as peles com pelo, e couros",401716762,278259384,Histórico
2024,Chile,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",400948318,29999750,Histórico
2024,Estados Unidos,"Minerios, escórias e cinzas",397535142,2827526793,Histórico
2024,Estados Unidos,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",397156869,38425173,Histórico
2024,Estados Unidos,"Obras de ferro fundido, ferro ou aço",392260569,111511099,Histórico
2024,Argentina,Borracha e suas obras,389103471,69065170,Histórico
2024,Japão,Alumínio e suas obras,387386578,164714917,Histórico
2024,Estados Unidos,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,386232182,366716244,Histórico
2024,Países Baixos (Holanda),"Café, chá, mate e especiarias",382862296,103130110,Histórico
2024,Argentina,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",377378763,332456364,Histórico
2024,China,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,377292932,750821757,Histórico
2024,Espanha,"Café, chá, mate e especiarias",370832314,97186028,Histórico
2024,Argentina,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",369297317,209894942,Histórico
2024,Estados Unidos,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",349880925,3429532,Histórico
2024,México,"Ferro fundido, ferro e aço",346029431,455923095,Histórico
2024,Japão,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",335260254,771784687,Histórico
2024,Estados Unidos,Preparações alimentícias diversas,329005744,74735064,Histórico
2024,Japão,"Ferro fundido, ferro e aço",327462979,82391590,Histórico
2024,Estados Unidos,Armas e munições; suas partes e acessórios,323875242,10325838,Histórico
2024,Argentina,Produtos diversos das indústrias químicas,320243941,75507620,Histórico
2024,México,"Madeira, carvão vegetal e obras de madeira",317998337,643435162,Histórico
2024,Canadá,"Ferro fundido, ferro e aço",311333872,453948009,Histórico
2024,Estados Unidos,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",308255344,3569223,Histórico
2024,Estados Unidos,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,304525896,31822728,Histórico
2024,Chile,Plásticos e suas obras,291615148,158990118,Histórico
2024,México,"Café, chá, mate e especiarias",277366050,78400049,Histórico
2024,Estados Unidos,Alumínio e suas obras,267129282,72433231,Histórico
2024,Estados Unidos,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",266954691,203409161,Histórico
2024,México,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",263225955,17126917,Histórico
2024,Estados Unidos,Plásticos e suas obras,259888142,79410873,Histórico
2024,Estados Unidos,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,257406834,39352711,Histórico
2024,Estados Unidos,Tabaco e seus sucedâneos manufaturados,255026250,39839653,Histórico
2024,Estados Unidos,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",253584149,59446495,Histórico
2024,Chile,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,250567549,346296427,Histórico
2024,Estados Unidos,Cobre e suas obras,249209004,26741866,Histórico
2024,Argentina,Cacau e suas preparações,246915357,29095927,Histórico
2024,Alemanha,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",246905834,788525,Histórico
2024,Canadá,"Café, chá, mate e especiarias",232066709,54230270,Histórico
2024,México,"Minerios, escórias e cinzas",231056471,2417387076,Histórico
2024,Estados Unidos,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",223997753,30241014,Histórico
2024,Canadá,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",221201069,21136370,Histórico
2024,Estados Unidos,"Calçados, polainas e artefatos semelhantes; suas partes",216952526,5992556,Histórico
2024,China,"Café, chá, mate e especiarias",215209758,56096900,Histórico
2024,Alemanha,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",214038519,44072366,Histórico
2024,Argentina,"Calçados, polainas e artefatos semelhantes; suas partes",208395289,7600451,Histórico
2024,Argentina,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",207444833,369539152,Histórico
2024,Países Baixos (Holanda),Produtos químicos orgânicos,206877673,215903561,Histórico
2024,Espanha,"Aeronaves e aparelhos espaciais, e suas partes",205413148,214146,Histórico
2024,Estados Unidos,"Bebidas, líquidos alcoólicos e vinagres",205360495,273922126,Histórico
2024,México,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",200456085,190078522,Histórico
2024,Argentina,Produtos químicos orgânicos,192399083,102305595,Histórico
2024,Chile,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",183421342,11867683,Histórico
2024,México,Borracha e suas obras,183116108,41214360,Histórico
2024,Chile,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",182237407,153623171,Histórico
2024,Espanha,Cereais,179510166,939683188,Histórico
2024,China,"Madeira, carvão vegetal e obras de madeira",177889883,1079001661,Histórico
2024,Argentina,"Obras de ferro fundido, ferro ou aço",167575745,43067546,Histórico
2024,Alemanha,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,167266041,351977000,Histórico
2024,Argentina,Alumínio e suas obras,167164771,41068306,Histórico
2024,Estados Unidos,"Peles, exceto as peles com pelo, e couros",166745706,11741601,Histórico
2024,Canadá,"Minerios, escórias e cinzas",162623819,2273063582,Histórico
2024,Argentina,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",161425505,54101617,Histórico
2024,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",158847875,10910096,Histórico
2024,Japão,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,158078081,349382180,Histórico
2024,Argentina,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,157658072,73270908,Histórico
2024,Espanha,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,150045709,262062219,Histórico
2024,Países Baixos (Holanda),"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",149959495,33616866,Histórico
2024,Japão,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",149597085,36097752,Histórico
2024,Países Baixos (Holanda),Alumínio e suas obras,146420266,60708434,Histórico
2024,Estados Unidos,Produtos farmacêuticos,145132926,7403891,Histórico
2024,Espanha,"Carnes e miudezas, comestíveis",145040333,41058742,Histórico
2024,Argentina,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",144507983,2682580,Histórico
2024,Países Baixos (Holanda),"Aeronaves e aparelhos espaciais, e suas partes",142743683,135395,Histórico
2024,Alemanha,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",142696315,20005182,Histórico
2024,Japão,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,140237696,239881780,Histórico
2024,China,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",138214394,70849912,Histórico
2024,Espanha,Frutas; cascas de frutos cítricos e de melões,136962519,130349419,Histórico
2024,Estados Unidos,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",135106599,16614072,Histórico
2024,Estados Unidos,Produtos cerâmicos,133245901,257293052,Histórico
2024,México,Plásticos e suas obras,133153289,28091258,Histórico
2024,Espanha,Produtos químicos orgânicos,131504919,99551954,Histórico
2024,Estados Unidos,"Objetos de arte, de coleção e antiguidades",129282753,60269,Histórico
2024,China,Cobre e suas obras,128706761,20794656,Histórico
2024,Argentina,"Café, chá, mate e especiarias",128623042,33935989,Histórico
2024,Estados Unidos,Produtos diversos das indústrias químicas,126668827,54601213,Histórico
2024,Estados Unidos,Frutas; cascas de frutos cítricos e de melões,126453015,62919861,Histórico
2024,Países Baixos (Holanda),Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,126139019,12535268,Histórico
2024,Estados Unidos,Outros metais comuns; ceramais (cermets); obras dessas matérias,121163129,3754941,Histórico
2024,México,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,118724243,17327747,Histórico
2024,Argentina,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,115630793,18127669,Histórico
2024,Alemanha,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",110792179,266169552,Histórico
2024,Argentina,Cobre e suas obras,109716365,10667506,Histórico
2024,México,"Obras de ferro fundido, ferro ou aço",107705763,40686184,Histórico
2024,Países Baixos (Holanda),"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",106278382,169819909,Histórico
2024,Chile,Alumínio e suas obras,103450803,28861436,Histórico
2024,Estados Unidos,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",101850710,11981700,Histórico
2024,México,Produtos químicos orgânicos,101473877,80933230,Histórico
2024,Canadá,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",100956530,11860664,Histórico
2024,México,Açúcares e produtos de confeitaria,100425762,174853410,Histórico
2024,Japão,Plásticos e suas obras,98196709,49784030,Histórico
2024,Estados Unidos,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",97296114,35865644,Histórico
2024,Japão,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",95942520,274971218,Histórico
2024,China,Plásticos e suas obras,95454301,84015774,Histórico
